Title;Link
 Европа (1991);https://www.kinopoisk.ru/film/15151/
Лобстер (2015);https://www.kinopoisk.ru/film/819846/
Кожа в которой я живу (2011);https://www.kinopoisk.ru/film/462737/
Сталкер (1979);https://www.kinopoisk.ru/film/43970/
Малхолланд драйв (2001);https://www.kinopoisk.ru/film/466/
Я - начало (2014);https://www.kinopoisk.ru/film/761933/
Одержимость (2013);https://www.kinopoisk.ru/film/725190/
Молодость (2015);https://www.kinopoisk.ru/film/807818/
Левиафан (2014);https://www.kinopoisk.ru/film/705356/
Маяк (2019);https://www.kinopoisk.ru/film/1114927/
