Title;Link
Песнь моря (2014);https://www.kinopoisk.ru/film/714248/
Клаус (2019);https://www.kinopoisk.ru/film/957887/
Франкенвини (2012);https://www.kinopoisk.ru/film/408395/
Бесподобный мистер Фокс (2009);https://www.kinopoisk.ru/film/86621/
Человек паук: через вселенные (2018);https://www.kinopoisk.ru/film/920265/
Мальчик и птица (2023);https://www.kinopoisk.ru/film/1071383/
Навсикая из Долины ветров (1984);https://www.kinopoisk.ru/film/8240/
Ван Гог. С любовью Винсент (2017);https://www.kinopoisk.ru/film/909720/
Остров собак (2018);https://www.kinopoisk.ru/film/939785/
Икар (2022);https://www.kinopoisk.ru/film/4862812/
По ту сторону изгороди (2014);https://www.kinopoisk.ru/series/841914/
