Title;Link
Дурак (2014);
Ворошиловский стрелок (1999);
Собачье сердце (1988);https://www.kinopoisk.ru/film/77335/
А зори здесь тихие... (1972);https://www.kinopoisk.ru/film/43395/
Афоня (1975);https://www.kinopoisk.ru/film/43423/
Солнцепек (2021);https://www.kinopoisk.ru/film/4518766/
Офицеры (1971);https://www.kinopoisk.ru/film/42736/
Солдатик (2018);https://www.kinopoisk.ru/film/1254051/
Курьер (1986);https://www.kinopoisk.ru/film/45028/
Мимино (1977);https://www.kinopoisk.ru/film/46638/
Вам и не снилось… (1980);https://www.kinopoisk.ru/film/45660/
Повелитель ветра (2023);https://www.kinopoisk.ru/film/1253841/
Жестокий романс (1984);https://www.kinopoisk.ru/film/45314/
Без меня (2018);https://www.kinopoisk.ru/film/1049103/
Судьба человека (1959);https://www.kinopoisk.ru/film/44027/
Доктор Лиза (2020);https://www.kinopoisk.ru/film/1254059/
Холодное лето пятьдесят третьего… (1987);https://www.kinopoisk.ru/film/7660/
Гараж (1979);https://www.kinopoisk.ru/film/44467/
Белый Бим Черное ухо (1976);https://www.kinopoisk.ru/film/46068/
Вокзал для двоих (1982);https://www.kinopoisk.ru/film/45822/
Дополнительный урок (2022);https://www.kinopoisk.ru/film/1451292/
Мужики!.. (1981);https://www.kinopoisk.ru/film/46745/
Небесный суд (2011);https://www.kinopoisk.ru/film/543331/
Калина красная (1973);https://www.kinopoisk.ru/film/44691/
Осенний марафон (1979);https://www.kinopoisk.ru/film/42799/
"Не могу сказать ""прощай"" (1982)";https://www.kinopoisk.ru/film/46367/
Рассказы (2012);https://www.kinopoisk.ru/film/656093/
Чучело (1983);https://www.kinopoisk.ru/film/45524/
Матильда (2017);https://www.kinopoisk.ru/film/705382/
Скажи ей (2020);https://www.kinopoisk.ru/film/1281999/
