Title;Link
1+1 (2011);https://www.kinopoisk.ru/film/535341/
Интерстеллар (2014);https://www.kinopoisk.ru/film/258687/
Побег из Шоушенка (1994);https://www.kinopoisk.ru/film/326/
Зеленая миля (1999);https://www.kinopoisk.ru/film/435/
Остров проклятых (2009);https://www.kinopoisk.ru/film/397667/
Бойцовский клуб (1999);https://www.kinopoisk.ru/film/361/
Форрест гамп (1994);https://www.kinopoisk.ru/film/448/
Властелин колец: Возвращение короля (2003);https://www.kinopoisk.ru/film/3498/
Унесённые призраками (2001);https://www.kinopoisk.ru/film/370/
Властелин колец: Братство кольца (2001);https://www.kinopoisk.ru/film/328/
Джентльмены (2019);https://www.kinopoisk.ru/film/1143242/
Леон (1994);https://www.kinopoisk.ru/film/389/
Терминатор 2: Судный день (1991);https://www.kinopoisk.ru/film/444/
Властелин колец: Две крепости (2002);https://www.kinopoisk.ru/film/312/
Начало (2010);https://www.kinopoisk.ru/film/447301/
Достучаться до небес (1997);https://www.kinopoisk.ru/film/32898/
Зеленая книга (2018);https://www.kinopoisk.ru/film/1108577/
Криминальное чтиво (1994);https://www.kinopoisk.ru/film/342/
Гладиатор (2000);https://www.kinopoisk.ru/film/474/
Тайна Коко (2017);https://www.kinopoisk.ru/film/679486/
Тёмный рыцарь (2008);https://www.kinopoisk.ru/film/111543/
Список Шиндлера (1993);https://www.kinopoisk.ru/film/329/
Иван Васильевич меняет профессию (1973);https://www.kinopoisk.ru/film/42664/
Шрэк (2001);https://www.kinopoisk.ru/film/430/
Брат (1997);https://www.kinopoisk.ru/film/41519/
Брат 2 (2000);https://www.kinopoisk.ru/film/41520/
Волк с Уолл-стрит (2013);https://www.kinopoisk.ru/film/462682/
Назад в будущее (1985);https://www.kinopoisk.ru/film/476/
Собачье сердце (1988);https://www.kinopoisk.ru/film/77335/
Большой куш (2000);https://www.kinopoisk.ru/film/526/
