Title;Link
Ловушка для родителей (1998);https://www.kinopoisk.ru/film/6522/
Дрянные девчонки (2004);https://www.kinopoisk.ru/film/61254/
Семь (1995);https://www.kinopoisk.ru/film/377/
Девушка с татуировкой дракона (2011);https://www.kinopoisk.ru/film/491724/
Жизнь Давида гейла (2002);https://www.kinopoisk.ru/film/738/
Работа без авторства (2018);https://www.kinopoisk.ru/film/959606/
Камон Камон (2021);https://www.kinopoisk.ru/film/1309501/
Пока не сыграл в ящик (2007);https://www.kinopoisk.ru/film/258885/
Лука (2021);https://www.kinopoisk.ru/film/1395801/
Охота (2012);https://www.kinopoisk.ru/film/647671/
В Доме (2012);https://www.kinopoisk.ru/film/596266/
Еще по одной (2020);https://www.kinopoisk.ru/film/1263705/
Голгофа (2013);https://www.kinopoisk.ru/film/666951/
На западном фронте без перемен (2022);https://www.kinopoisk.ru/film/316376/
Королевство полной луны (2012);https://www.kinopoisk.ru/film/571892/
Васаби (2001);https://www.kinopoisk.ru/film/14288/
Небраска (2013);https://www.kinopoisk.ru/film/582391/
Эдвард руки-ножницы (1990);https://www.kinopoisk.ru/film/8421/
Дьявол носит Прада (2006);https://www.kinopoisk.ru/film/104992/
Подмена (2008);https://www.kinopoisk.ru/film/279880/
